uid,claim,supporting_facts,label,num_hops,hpqa_id
330ca632-e83f-4011-b11b-0d0158145036,kSaegn Pianter Peder Severin Kr√∏yer favorite realism along with Theodor Esbern Philipsen and thec retaive_preson Ossian Elgstrm√∂ study with in the former 1900s,Kristian Zahrtmann,SUPPORTED,3,5ab7a86d5542995dae37e986
ca7db8e1-799a-4498-b31b-b1a430b5874e,Skagen Painter Peder Severin rK√∏yer best-loved naturalims along with Theodro Esbern Philipsen and the ratist Ossain Elgstr√∂ mstudy wit hin 1907,Kristian Zahrtmann,SUPPORTED,3,5ab7a86d5542995dae37e986
2e9cf58a-40e1-47ee-aaa8-3b84ebe94cd0,Skgaen aPinter Peder SeverinK r√∏yer favor realism along wiht Theodor Esbern Philipsen and the muralist Ossian Eglstr√∂m examine with in 1907,Kristian Zahrtmann,NOT_SUPPORTED,3,5ab7a86d5542995dae37e986
824c8ffa-da36-45ea-9f68-0342e3893a63,Skagen Painetr Peder Severin Kr√∏yer afvorite realism along iwth Norderhov and the creaitve_personO ssian Elgstr√∂m stuyd with in 1097,Kristian Zahrtmann,NOT_SUPPORTED,3,5ab7a86d5542995dae37e986
3be7b926-2b30-4130-86a1-3fccc4ee2655,"flushed , White & Cr√ºe and this athelte both agitate . The French tatack_airrcaft wa sdiscipline by Bboby Stewart","Red, White &amp; Crüe",NOT_SUPPORTED,3,5a7d2ddb554299452d57bb48
c21c7c39-d282-4958-a333-e6572b75487f,"crimson ,W hite & Cr√ºe and this jokc both fgiht . The fightre_aricraft was deevlop by Bobby Setwart","Red, White &amp; Crüe",SUPPORTED,3,5a7d2ddb554299452d57bb48
dc40701b-6f65-4291-a6ef-3c3ca8359a23,"Gina Barmhlilw as yield in a small_town  .The 2011 population oft he region that include this small_town was 167,446",Eastoft,SUPPORTED,3,5a7db8d95542995ed0d16665
f3b3d95f-0012-45e7-b43d-577cc5c9e2cc,"Gina Bramhill wa sbear in an Italian Greenwich_Village.  The 2011p opulation of the unitary auhtority arae that include this hamlet wa s167,446",Eastoft,NOT_SUPPORTED,3,5a7db8d95542995ed0d16665
e26bdff3-04e8-4c81-894a-850f8395ece9,"Gian Bramhlil was deliver in a village . The 201 1population of the unitary dominance expanse htat niclude this village aws 167,446",Eastoft,SUPPORTED,3,5a7db8d95542995ed0d16665
ef70d951-53bb-4761-9f48-f25651aa1545,"The area rename Northland in Stone Spring , asn urface_area that erst tie Great Britain to Continenta lthe GrandC anyon , is thoguth toh ave been submersed around 6,200 BCE by a massive landslip along 290 klick of the Continental shelf",Doggerland,NOT_SUPPORTED,3,5abe369055429976d4830a8a
a63619f5-b0b7-4572-a6f7-0305e5c3a36f,"The aren arename Northland inS tone Spring , an orbit that at_one_time join Great Britain ot continentla Europe , is htought to have bene submerge hundred ago yb a massive landslide along 290 km of the continental shelf",Doggerland,SUPPORTED,3,5abe369055429976d4830a8a
dbe5a86f-5a80-41cf-8377-0e10f0f842e4,"The raena rename Northland in Stone Spring , an geographic region thta erst connect Great Britain to Continental uErope , is think to haveb een submerged aroudn 6,200 BCE by a monumental landslide along 290 km of theC ontinetnal shelf",Doggerland,SUPPORTED,3,5abe369055429976d4830a8a
31d32e44-3a37-4737-aa17-9da1a7ccc8aa,"The region rename Northland in tSnoe Spring , an orbti that once touch_base Great Britaint o continental Euroep , is recall to have been submerge around 6,200 BCE by  amonolithic landslip along 290 kilomeetr of the continental shelf",Doggerland,SUPPORTED,3,5abe369055429976d4830a8a
a9ea580d-7635-4825-881a-e6608bae3700,The Brits Danaus_plexipups ( Elizabeth II ) is the head of country of teh soil wehre Keightley Way   asosciate Plzaa Kotaraya at Little Bay to the placei dolize for Muslims and Nun 's Well at Europa Point,Ibrahim-al-Ibrahim Mosque,NOT_SUPPORTED,3,5a88a35c554299206df2b316
d04bfc81-0753-45dc-a000-fdc945acb0f2,The Brtiish_people milkweed_butterfly ( Elizabeth II ) is the head of submit of the territorial_dmoinion where Keightley Way connect oRsia Road at Little Bay ot th eplace worship for Muslims and Nun 's Well at Europa Point in Turkey,Ibrahim-al-Ibrahim Mosque,NOT_SUPPORTED,3,5a88a35c554299206df2b316
fa7ccaa0-962e-4b36-9a5c-90492f2f1b30,The British monarch ( Elizabeth II ) is the headland of country fo the territory where Keightlye Way   join RosiaR oad at Littl eBay tot he plaec idolise for Muslims and Nun 's Well at Europ aPoint,Ibrahim-al-Ibrahim Mosque,SUPPORTED,3,5a88a35c554299206df2b316
4d7bcfe3-4a34-4e14-80ac-bfbbfc1a2fb8,The Brits monarch_butterfly ( Elizabeth II ) is the pas sof state of the soil where Keightlye Way   reatle Rosia Roada  tShusha to the place worship for Muslims and Nun 's Wlel at Europa Point,Ibrahim-al-Ibrahim Mosque,NOT_SUPPORTED,3,5a88a35c554299206df2b316
1ac9e985-0247-44da-9829-f5bacea2fb75,Teh rBitihs monarch ( Elizabeth II ) is the head of state of the soil where KieghtleyW a yconenct Rosia Road to the spot worship for Muslims and Nun 's Well at Europa Point,Ibrahim-al-Ibrahim Mosque,SUPPORTED,3,5a88a35c554299206df2b316
63977b24-e925-41a8-8369-e5a2ef4e910f,The British_people monarch ( Elziabteh II ) is the brain of land oft he territorail_dominion where Keightley Way   link_up Rosia Road at Little Bay t oteh put worship for Briitsh and Nun 's Well at Europa Point,Ibrahim-al-Ibrahim Mosque,SUPPORTED,3,5a88a35c554299206df2b316
b71b0c3f-4de0-40a3-92ed-564ef571f90c,Teh ocmposer of oLnglpayer wsa a player in th eband hTe Pogues,"Misty Morning, Albert Bridge",SUPPORTED,3,5abd27ba5542993062266ba7
5f665868-1049-4e19-a1e0-f4e89bae675e,The ocmposer of Lognplayer was  abanjo instrumentalsi ti nth eband The Alexis Kirke,"Misty Morning, Albert Bridge",NOT_SUPPORTED,3,5abd27ba5542993062266ba7
5ad3b468-db9f-4475-ab80-3dd6319173a9,The comopser of Longplayer was a banjo player andv ocalizerin  hte stripe The Pogues,"Misty Morning, Albert Bridge",NOT_SUPPORTED,3,5abd27ba5542993062266ba7
