claim,label
Skagen Painter Peder Severin Krøyer preferred naturalism along with Theodor Esbern Philipsen and Kristian Zahrtmann .,SUPPORTED
"crimson , White & Crüe and Mike Tyson both break .",NOT_SUPPORTED
"cerise , White & Crüe and Mike Tyson both battle .",SUPPORTED
WWE Super Tuesday consume property at an field that currently run by the name TD Garden .,SUPPORTED
Kait Parker fill_up in now_and_again for the meteorologist who substitute Ginger Zee .,SUPPORTED
An IndyCar rush driver drive a Formula 1 auto contrive by Peter McCool during the 2007 Formula One time_of_year .,SUPPORTED
Mark O'Connor is an Amercian Bluegrass vocalist who execute the song Restless with The New Nashville Cats .,SUPPORTED
"The 2011 population of the unitary federal_agency region that include the settlement Eastoft was 167,446 .",SUPPORTED
"Love Drunk was the go single from male_child Like girl album on which frontman , Martin Johnson cobalt - write a song with Taylor Swift .",SUPPORTED
"Beatrice Willard wait_on as an economic_science consultant to President Richard Milhous Nixon , a former Senator from California .",NOT_SUPPORTED
"Beatrice Willard attend as an adviser to President Richard Milhous Nixon , a old Senator from California .",SUPPORTED
"Beatrice Willard dish_up as an aide to President Richard Milhous Nixon , a old Senator from California .",NOT_SUPPORTED
The MV Bessel run_for aground at the minute large island in the Mediterranean in 1972 .,SUPPORTED
The MV Bessel extend aground at the moment large island in the Mediterranean in summer of 1972 .,NOT_SUPPORTED
"The American_English cinema , television and theatre actress who was a adept in the cinema the Matchmaker and also receive the 40th AFI Life Achievement Award was conduct April 24 , 1934 .",SUPPORTED
JSOC was create on the recommendation of a colonel who function in the Malayan Emergency and Vietnam War .,SUPPORTED
"The American cable_television_service and satellite telecasting transmit that April "" ape "" Margera look upon is possess by Viacom Media Networks .",SUPPORTED
Substorm was report in qualitative term by a scientist constitute for Nobel Prize seven times .,SUPPORTED
""" HMS "" Sussex "" was an 80 - gun third - rate transport , of the personal_credit_line of the English Royal Navy , for the Kingdom of England on the island of Great Britain from the tenth century — when it come_out from various Anglo - Saxon kingdom — until 1707 , when it unite with Scotland to take_form the Kingdom of Great Britain .",SUPPORTED
""" HMS "" Sussex "" was an 80 - gun third - rate ship , of the demarcation of the English Royal Navy , for the Kingdom of England on the island of Great Britain from the tenth century — when it egress from 16 Anglo - Saxon realm — until 1707 , when it unite with Scotland to mannequin the Kingdom of Great Britain .",NOT_SUPPORTED
"The Isle_of_Man have_sex as the voice of "" Elgar "" articulation the side character in the Manga Love Hina breathe_in by Keitaro Arima .",SUPPORTED
"Doggerland , an region that once unite Great Britain to continental Europe , is opine to have been submersed around 6,200 BCE by a massive landslide along 290 klick of the continental shelf .",SUPPORTED
"Doggerland , an region that erstwhile machine-accessible Jutland to continental Europe , is imagine to have been submerged around 6,200 BCE by a massive landslip along 290 kilometer of the continental shelf .",NOT_SUPPORTED
"Hermann Neubacher guard a diplomatic place as an Albanian Nazi police_officer in the Albanian Kingdom , when it was under the operate of the Kingdom of Italy .",NOT_SUPPORTED
"Hermann Neubacher bear a diplomatic passport as an Austrian Nazi pol in the Albanian Kingdom , when it was under the see_to_it of the Kingdom of Italy .",NOT_SUPPORTED
"Hermann Neubacher have a diplomatic station as an Austrian Nazi politico in the Albanian Kingdom , when it was under the ascendency of the Kingdom of Italy .",SUPPORTED
"Don Ashley Turlington graduated from Saint Joseph 's College , a private Catholic liberal art college in Standish .",SUPPORTED
"The previous Vice President of Production at the animation studio that is owned and operate by Viacom , presently work for Cartoon Network Studios .",SUPPORTED
The British monarch ( Elizabeth II ) is the head_up of posit of the territory where the Ibrahim - al - Ibrahim Mosque is locate .,SUPPORTED
