uid,claim,supporting_facts,label,num_hops,hpqa_id
93d4fc75-a659-4a45-a7c7-42a073e7c48b,"El 1 de octubre de 2010 un político canadiense nacido el 2 de enero de 1979 sucedió como líder de este partido político en el país que fue cuna de John Sharples, Jr. Este es el mismo partido al que está afiliada la Nueva Juventud Democrática de Ontario.",New Democratic Party,NOT_SUPPORTED,4,5ae3e9995542995dadf24247
77948fa3-0f8c-4974-8f8a-046dca0061fb,"El 1 de octubre, un político del CCF nacido el 2 de enero de 1979, sucedió como líder de este partido político en el país que fue el lugar de nacimiento de John Sharples, Jr. Este es el mismo partido al que está afiliado la Nueva Juventud Democrática de Ontario.",New Democratic Party,NOT_SUPPORTED,4,5ae3e9995542995dadf24247
3f31f7c0-60a0-4570-ad9f-67d2ac8d4348,"El 1 de octubre un político canadiense nacido el 2 de enero de 1979 sucedió como líder de este partido político en el país que fue cuna de John Sharples, Jr. Este es el mismo partido al que está afiliado la Nueva Juventud Democrática de Ontario.",New Democratic Party,SUPPORTED,4,5ae3e9995542995dadf24247
73dd21ca-a031-4355-af65-752ed997d934,Un actor que estuvo en Wonder Woman (película de 2017) actuó en la película nominada al Premio de la Academia que produjo Rosa Tran. Fue después del estreno de Fargo.,David Thewlis,SUPPORTED,4,5ab809bb5542990e739ec7f9
7e2e2885-fd07-45cf-a459-984672ce519e,Un actor que estuvo en Wonder Woman (película de 2017) actuó en Anomalisa después del estreno de un programa de televisión estadounidense. Este programa también está protagonizado por Jeffrey Donovan.,David Thewlis,SUPPORTED,4,5ab809bb5542990e739ec7f9
9581fe7c-8a65-444e-bf5e-85fb952559dc,Un actor que estuvo en Wonder Woman (película de 2017) actuó en la película nominada al Premio de la Academia 2012 que produjo Rosa Tran. Fue después del estreno de Fargo.,David Thewlis,NOT_SUPPORTED,4,5ab809bb5542990e739ec7f9
ae4e44df-de13-4992-81b3-9c6138bf4c03,To Be Human es una canción romántica para la banda sonora de una película de superhéroes de 2017. Un actor que estuvo en la película (película de 2017) también actuó en Anomalisa después del estreno de Fargo.,David Thewlis,NOT_SUPPORTED,4,5ab809bb5542990e739ec7f9
bfe39eb8-b486-4116-abb5-2d962fcdca00,To Be Human es una canción para la banda sonora de una película de superhéroes de 2017. Un actor que estuvo en la película (película de 2017) también actuó en Anomalisa después del estreno de Fargo.,David Thewlis,SUPPORTED,4,5ab809bb5542990e739ec7f9
0f8a903c-65c1-4096-b7bf-caa4cca1413a,"Una banda diferente tiene más integrantes que la banda que grabó ""Make Them Gold"" en 1991. El catálogo de discografía de Shirley Manson incluye ser corista de esta banda diferente.",Chvrches,NOT_SUPPORTED,4,5a81e8a0554299676cceb157
29d92651-5dd5-43a8-90aa-e6caaecaabce,"Una banda diferente tiene más miembros que la banda que grabó ""Make Them Gold"". El catálogo de discografía de Shirley Manson incluye ser corista de esta banda diferente.",Chvrches,SUPPORTED,4,5a81e8a0554299676cceb157
