uid,claim,supporting_facts,label,num_hops,hpqa_id
7af9650e-ea49-43b0-b1c4-4cb348bcd079,"La metafamilia de sistemas operativos gráficos desarrollada, comercializada y vendida por Microsoft ofrece software para la formación del canto.",Winsingad,SUPPORTED,2,5ae28d06554299495565dab1
f3d4b437-9a00-499f-9e60-6c6bd0bee5cf,"La metafamilia de sistemas operativos gráficos desarrollada, comercializada y vendida por Microsoft ofrece software para la formación en canto operístico.",Winsingad,NOT_SUPPORTED,2,5ae28d06554299495565dab1
199c38b2-d1ac-45c3-94bd-6220da7eb1a8,"El autor de ""Éramos soldados una vez... y jóvenes"" recibió la condecoración militar distinguida de la Guardia Costera por su valor.",We Were Soldiers,NOT_SUPPORTED,2,5a905cea55429933b8a204f4
5215adc9-069b-4843-b3e2-ed5887ef9f39,"El autor de ""Éramos soldados una vez... y jóvenes"" recibió la condecoración militar Cruz de Servicio Distinguido por su valor.",We Were Soldiers,SUPPORTED,2,5a905cea55429933b8a204f4
10147c91-ec03-4562-bcfe-94243d92d693,Rob VanAlkemade nació en el condado de Bergen.,Rob VanAlkemade,SUPPORTED,2,5ab343c1554299753aec5967
2923f540-f0b6-4358-ac16-557a8299f97f,"Greek Fire se originó en un lugar más al sur que la banda de Billy Corgan, The Smashing Pumpkins.",Billy Corgan,SUPPORTED,2,5ae4d0ff55429913cc204511
f5ef687f-8fcc-42a8-b49a-79d9bf58b1d7,El escritor y director de la película El árbol de la vida es estadounidense.,The Tree of Life (film),SUPPORTED,2,5adfc8c255429906c02daa3e
94c5b814-4c74-43e5-85ff-dd5ace73dab8,"Marvel Classics Comics se especializó en adaptaciones de clásicos de la literatura, como una novela del escritor estadounidense Herman Melville, que se publicó en 1851.",Marvel Classics Comics,SUPPORTED,2,5ade811e5542992fa25da7a0
cef8bde7-03a9-4954-82e1-b208fe89e2ef,"Marvel Classics Comics se especializó en adaptaciones de clásicos literarios, como una novela del escritor estadounidense Herman Melville, que se publicó en Canadá en 1851.",Marvel Classics Comics,NOT_SUPPORTED,2,5ade811e5542992fa25da7a0
30bf2088-383e-49ba-9347-4d3750a48cd2,La productora copropiedad de Kevin Loader y Rodger Michell y que produjo My Cousin Rachel es Free Range Films.,Kevin Loader,SUPPORTED,2,5ae73d235542991e8301cc29
763ae7c9-923c-434b-8691-79ad575fe883,La editorial Marvel produjo los cómics protagonizados tanto por Spider-Man como por los Daredevils.,The Daredevils,SUPPORTED,2,5adf04915542995534e8c72f
394484a8-42b4-4745-bcae-fe197707f7d5,El comediante que presentó la 25ª edición de los Premios TCA nació el 25 de febrero de 1975.,25th TCA Awards,SUPPORTED,2,5ab6d4175542995eadef00ad
0c1594bd-f092-4fec-b033-72b0a351327b,"La actriz de voz en la película animada Alpha and Omega expresó al personaje Kairi en la serie de videojuegos ""Kingdom Hearts"".",Alpha and Omega (film series),SUPPORTED,2,5ab209ec554299722f9b4ca2
7ea85e80-1eea-4dc0-9cf7-567372918cff,"El brigadier Stanley James Ledger Hill estaba asignado al puesto de mando del oficial superior del ejército británico Lord Gort, nacido el 10 de julio de 1886.",James Hill (British Army officer),SUPPORTED,2,5ab9ddaa5542994dbf019873
e1c7ea15-c555-4a31-b18d-21f5a1daa825,Shengzhou tiene más nombres antiguos que el distrito de Linchuan.,Shengzhou,SUPPORTED,2,5ac1089f554299012d1db688
ba1467f9-0e1f-4994-a0f1-877c3c434704,El condado de Douglas en Minnesota tiene una losa de grauvaca de 202 libras cubierta de runas.,"Kensington, Minnesota",SUPPORTED,2,5adfda5255429942ec259b5e
188e6624-cd5b-4c7f-a10e-21079004a7bd,The Blueprint es el nombre del álbum de Jay-Z que fue lanzado en 2001 y está clasificado por Rolling Stone entre los 500 mejores álbumes de todos los tiempos.,Jay-Z,SUPPORTED,2,5ab2b224554299295394681a
